Protein,Replicate,Feature,Intensity
E,28,16,13.788580180913934
E,28,17,15.70410529090803
E,28,18,13.465450892235467
E,29,0,15.782829141397638
E,29,1,16.031880592015533
E,29,2,17.256961324511597
E,29,3,16.52970847185628
E,29,4,17.478684424739885
E,29,5,15.39868398104408
E,29,6,16.200253497219993
E,29,7,16.943679131780215
E,29,8,17.31670036634756
E,29,9,15.904841053814646
E,29,10,15.871118780138973
E,29,11,15.011974217706502
E,29,12,18.11728025391585
E,29,13,14.938223483489434
E,29,14,16.268977271616603
E,29,15,15.546063764799992
E,29,16,16.833508911771794
E,29,17,18.74903402176589
E,29,18,16.510379623093325
E,30,0,13.734228312267796
E,30,1,13.983279762885692
E,30,2,15.208360495381758
E,30,3,14.481107642726442
E,30,4,15.430083595610043
E,30,5,13.350083151914239
E,30,6,14.15165266809015
E,30,7,14.895078302650374
E,30,8,15.268099537217722
E,30,9,13.856240224684806
E,30,10,13.822517951009132
E,30,11,12.963373388576661
E,30,12,16.06867942478601
E,30,13,12.889622654359593
E,30,14,14.220376442486762
E,30,15,13.497462935670153
E,30,16,14.784908082641952
E,30,17,16.700433192636048
E,30,18,14.461778793963482
E,31,0,13.793825475775002
E,31,1,14.042876926392896
E,31,2,15.267957658888962
E,31,3,14.540704806233647
E,31,4,15.489680759117247
E,31,5,13.409680315421443
E,31,6,14.211249831597355
E,31,7,14.954675466157578
E,31,8,15.327696700724925
E,31,9,13.91583738819201
E,31,10,13.882115114516337
E,31,11,13.022970552083866
E,31,12,16.12827658829321
E,31,13,12.949219817866798
E,31,14,14.279973605993966
E,31,15,13.557060099177356
E,31,16,14.844505246149156
E,31,17,16.760030356143254
E,31,18,14.521375957470688
E,32,0,13.115472553933085
E,32,1,13.36452400455098
E,32,2,14.589604737047045
E,32,3,13.86235188439173
E,32,4,14.81132783727533
E,32,5,12.731327393579527
E,32,6,13.532896909755438
E,32,7,14.276322544315661
E,32,8,14.649343778883008
E,32,9,13.237484466350093
E,32,10,13.20376219267442
E,32,11,12.344617630241949
E,32,12,15.449923666451296
E,32,13,12.27086689602488
E,32,14,13.60162068415205
E,32,15,12.87870717733544
E,32,16,14.16615232430724
E,32,17,16.081677434301337
E,32,18,13.843023035628772
E,33,0,14.805928733108804
E,33,1,15.054980183726698
E,33,2,16.280060916222762
E,33,3,15.552808063567449
E,33,4,16.50178401645105
E,33,5,14.421783572755245
E,33,6,15.223353088931157
E,33,7,15.96677872349138
E,33,8,16.339799958058727
E,33,9,14.927940645525812
E,33,10,14.894218371850139
E,33,11,14.035073809417668
E,33,12,17.140379845627017
E,33,13,13.9613230752006
E,33,14,15.292076863327768
E,33,15,14.569163356511158
E,33,16,15.856608503482958
E,33,17,17.772133613477056
E,33,18,15.53347921480449
E,34,0,12.814811456557177
E,34,1,13.063862907175071
E,34,2,14.288943639671137
E,34,3,13.561690787015822
E,34,4,14.510666739899422
E,34,5,12.430666296203619
E,34,6,13.23223581237953
E,34,7,13.975661446939753
E,34,8,14.3486826815071
E,34,9,12.936823368974185
E,34,10,12.903101095298512
E,34,11,12.04395653286604
E,34,12,15.149262569075388
E,34,13,11.970205798648973
E,34,14,13.300959586776141
E,34,15,12.578046079959531
E,34,16,13.865491226931331
E,34,17,15.781016336925427
E,34,18,13.542361938252863
E,35,0,13.981443053867448
E,35,1,14.230494504485343
E,35,2,15.455575236981408
E,35,3,14.728322384326093
E,35,4,15.677298337209693
E,35,5,13.59729789351389
E,35,6,14.398867409689801
E,35,7,15.142293044250025
E,35,8,15.515314278817371
E,35,9,14.103454966284456
E,35,10,14.069732692608783
E,35,11,13.210588130176312
E,35,12,16.31589416638566
E,35,13,13.136837395959244
E,35,14,14.467591184086412
E,35,15,13.744677677269802
E,35,16,15.032122824241602
E,35,17,16.9476479342357
E,35,18,14.708993535563135
E,36,0,13.412991603246606
E,36,1,13.662043053864501
E,36,2,14.887123786360567
E,36,3,14.159870933705252
E,36,4,15.108846886588852
E,36,5,13.028846442893048
E,36,6,13.83041595906896
E,36,7,14.573841593629183
E,36,8,14.94686282819653
E,36,9,13.535003515663615
E,36,10,13.501281241987941
E,36,11,12.64213667955547
E,36,12,15.747442715764818
E,36,13,12.568385945338402
E,36,14,13.89913973346557
E,36,15,13.17622622664896
E,36,16,14.46367137362076
E,36,17,16.37919648361486
E,36,18,14.140542084942293
E,37,0,14.480717531130718
E,37,1,14.729768981748613
E,37,2,15.954849714244679
E,37,3,15.227596861589364
E,37,4,16.176572814472966
E,37,5,14.09657237077716
E,37,6,14.898141886953072
E,37,7,15.641567521513295
E,37,8,16.01458875608064
E,37,9,14.602729443547727
E,37,10,14.569007169872053
E,37,11,13.709862607439582
E,37,12,16.81516864364893
E,37,13,13.636111873222514
E,37,14,14.966865661349683
E,37,15,14.243952154533073
E,37,16,15.531397301504873
E,37,17,17.44692241149897
E,37,18,15.208268012826405
E,38,0,13.733268338373339
E,38,1,13.982319788991234
E,38,2,15.2074005214873
E,38,3,14.480147668831984
E,38,4,15.429123621715584
E,38,5,13.34912317801978
E,38,6,14.150692694195692
E,38,7,14.894118328755916
E,38,8,15.267139563323262
E,38,9,13.855280250790347
E,38,10,13.821557977114674
E,38,11,12.962413414682203
E,38,12,16.067719450891552
E,38,13,12.888662680465135
E,38,14,14.219416468592303
E,38,15,13.496502961775693
E,38,16,14.783948108747493
E,38,17,16.69947321874159
E,38,18,14.460818820069026
E,39,0,13.175557046328098
E,39,1,13.424608496945995
E,39,2,14.64968922944206
E,39,3,13.922436376786745
E,39,4,14.871412329670346
E,39,5,12.791411885974542
E,39,6,13.592981402150453
E,39,7,14.336407036710677
E,39,8,14.709428271278025
E,39,9,13.297568958745108
E,39,10,13.263846685069435
E,39,11,12.404702122636964
E,39,12,15.510008158846311
E,39,13,12.330951388419896
E,39,14,13.661705176547065
E,39,15,12.938791669730456
E,39,16,14.226236816702254
E,39,17,16.14176192669635
E,39,18,13.903107528023785
E,40,0,14.135109750514498
E,40,1,14.384161201132395
E,40,2,15.60924193362846
E,40,3,14.881989080973145
E,40,4,15.830965033856746
E,40,5,13.750964590160942
E,40,6,14.552534106336854
E,40,7,15.295959740897077
E,40,8,15.668980975464425
E,40,9,14.257121662931509
E,40,10,14.223399389255835
E,40,11,13.364254826823364
E,40,12,16.46956086303271
E,40,13,13.290504092606296
E,40,14,14.621257880733465
E,40,15,13.898344373916856
E,40,16,15.185789520888655
E,40,17,17.10131463088275
E,40,18,14.862660232210185
E,41,0,14.515212449005322
E,41,1,14.764263899623218
E,41,2,15.989344632119284
E,41,3,15.262091779463969
E,41,4,16.21106773234757
E,41,5,14.131067288651765
E,41,6,14.932636804827677
E,41,7,15.6760624393879
E,41,8,16.04908367395525
E,41,9,14.637224361422332
E,41,10,14.603502087746659
E,41,11,13.744357525314188
E,41,12,16.849663561523535
E,41,13,13.67060679109712
E,41,14,15.001360579224288
E,41,15,14.27844707240768
E,41,16,15.565892219379478
E,41,17,17.481417329373574
E,41,18,15.242762930701009
E,42,0,14.21395839254798
E,42,1,14.463009843165874
E,42,2,15.68809057566194
E,42,3,14.960837723006625
E,42,4,15.909813675890225
E,42,5,13.829813232194422
E,42,6,14.631382748370333
E,42,7,15.374808382930556
E,42,8,15.747829617497903
E,42,9,14.335970304964988
E,42,10,14.302248031289315
E,42,11,13.443103468856844
E,42,12,16.54840950506619
E,42,13,13.369352734639776
E,42,14,14.700106522766944
E,42,15,13.977193015950334
E,42,16,15.264638162922134
E,42,17,17.180163272916232
E,42,18,14.941508874243667
E,43,0,14.410418937899717
E,43,1,14.659470388517612
E,43,2,15.884551121013677
E,43,3,15.157298268358362
E,43,4,16.106274221241964
E,43,5,14.026273777546159
E,43,6,14.82784329372207
E,43,7,15.571268928282294
E,43,8,15.94429016284964
E,43,9,14.532430850316725
E,43,10,14.498708576641052
E,43,11,13.639564014208581
E,43,12,16.74487005041793
E,43,13,13.565813279991513
E,43,14,14.896567068118681
E,43,15,14.173653561302071
E,43,16,15.461098708273871
E,43,17,17.37662381826797
E,43,18,15.137969419595404
E,44,0,13.630425669452737
E,44,1,13.879477120070634
E,44,2,15.1045578525667
E,44,3,14.377304999911384
E,44,4,15.326280952794985
E,44,5,13.246280509099181
E,44,6,14.047850025275093
E,44,7,14.791275659835316
E,44,8,15.164296894402664
E,44,9,13.752437581869748
E,44,10,13.718715308194074
E,44,11,12.859570745761603
E,44,12,15.96487678197095
E,44,13,12.785820011544535
E,44,14,14.116573799671704
E,44,15,13.393660292855095
E,44,16,14.681105439826894
E,44,17,16.59663054982099
E,44,18,14.357976151148424
E,45,0,13.856549339522939
E,45,1,14.105600790140834
E,45,2,15.3306815226369
E,45,3,14.603428669981584
E,45,4,15.552404622865184
E,45,5,13.47240417916938
E,45,6,14.273973695345292
E,45,7,15.017399329905516
E,45,8,15.390420564472862
E,45,9,13.978561251939947
E,45,10,13.944838978264274
E,45,11,13.085694415831803
E,45,12,16.191000452041152
E,45,13,13.011943681614735
E,45,14,14.342697469741903
E,45,15,13.619783962925293
E,45,16,14.907229109897093
E,45,17,16.82275421989119
E,45,18,14.584099821218626
E,46,0,13.598670918956717
E,46,1,13.847722369574614
E,46,2,15.07280310207068
E,46,3,14.345550249415364
E,46,4,15.294526202298965
E,46,5,13.21452575860316
E,46,6,14.016095274779072
E,46,7,14.759520909339296
E,46,8,15.132542143906644
E,46,9,13.720682831373727
E,46,10,13.686960557698054
E,46,11,12.827815995265583
E,46,12,15.93312203147493
E,46,13,12.754065261048515
E,46,14,14.084819049175684
E,46,15,13.361905542359075
E,46,16,14.649350689330873
E,46,17,16.56487579932497
E,46,18,14.326221400652404
E,47,0,13.85920373529287
E,47,1,14.108255185910764
E,47,2,15.33333591840683
E,47,3,14.606083065751514
E,47,4,15.555059018635115
E,47,5,13.475058574939311
E,47,6,14.276628091115223
E,47,7,15.020053725675446
E,47,8,15.393074960242792
E,47,9,13.981215647709877
E,47,10,13.947493374034204
E,47,11,13.088348811601733
E,47,12,16.193654847811082
E,47,13,13.014598077384665
E,47,14,14.345351865511834
E,47,15,13.622438358695224
E,47,16,14.909883505667024
E,47,17,16.82540861566112
E,47,18,14.586754216988556
E,48,0,13.481533101357293
E,48,1,13.73058455197519
E,48,2,14.955665284471255
E,48,3,14.22841243181594
E,48,4,15.17738838469954
E,48,5,13.097387941003737
E,48,6,13.898957457179648
E,48,7,14.642383091739871
E,48,8,15.01540432630722
E,48,9,13.603545013774303
E,48,10,13.56982274009863
E,48,11,12.710678177666159
E,48,12,15.815984213875506
E,48,13,12.63692744344909
E,48,14,13.96768123157626
E,48,15,13.244767724759651
E,48,16,14.53221287173145
E,48,17,16.447737981725545
E,48,18,14.20908358305298
E,49,0,12.721237679395532
E,49,1,12.970289130013429
E,49,2,14.195369862509494
E,49,3,13.46811700985418
E,49,4,14.41709296273778
E,49,5,12.337092519041976
E,49,6,13.138662035217887
E,49,7,13.88208766977811
E,49,8,14.255108904345459
E,49,9,12.843249591812542
E,49,10,12.809527318136869
E,49,11,11.950382755704398
E,49,12,15.055688791913745
E,49,13,11.87663202148733
E,49,14,13.207385809614498
E,49,15,12.48447230279789
E,49,16,13.771917449769688
E,49,17,15.687442559763785
E,49,18,13.448788161091219
E,50,0,14.306303360280513
E,50,1,14.55535481089841
E,50,2,15.780435543394475
E,50,3,15.05318269073916
E,50,4,16.00215864362276
E,50,5,13.922158199926956
E,50,6,14.723727716102868
E,50,7,15.467153350663091
E,50,8,15.84017458523044
E,50,9,14.428315272697523
E,50,10,14.39459299902185
E,50,11,13.535448436589379
E,50,12,16.640754472798726
E,50,13,13.46169770237231
E,50,14,14.792451490499479
E,50,15,14.06953798368287
E,50,16,15.356983130654669
E,50,17,17.272508240648765
E,50,18,15.0338538419762
E,51,0,13.824044052071198
E,51,1,14.073095502689094
E,51,2,15.29817623518516
E,51,3,14.570923382529845
E,51,4,15.519899335413445
E,51,5,13.439898891717641
E,51,6,14.241468407893553
E,51,7,14.984894042453776
E,51,8,15.357915277021124
E,51,9,13.946055964488208
E,51,10,13.912333690812535
E,51,11,13.053189128380064
E,51,12,16.15849516458941
E,51,13,12.979438394162996
E,51,14,14.310192182290164
E,51,15,13.587278675473556
E,51,16,14.874723822445354
E,51,17,16.79024893243945
E,51,18,14.551594533766885
E,52,0,12.801239337257655
E,52,1,13.05029078787555
E,52,2,14.275371520371616
E,52,3,13.5481186677163
E,52,4,14.497094620599901
E,52,5,12.417094176904097
E,52,6,13.218663693080009
E,52,7,13.962089327640232
E,52,8,14.335110562207579
